question_en,question_ko,answer_en,answer_ko,category,ef_factor,created_at,modified_at
What is Akka?,아카란 무엇인가요?,"An open source project that provides a simpler, single programming model - one way of coding for concurrent and distributed applications - the actor programming model.
Akka’s primary goal is to make it simpler to build applications that are deployed in the cloud or run on devices with many cores and that efficiently leverage the full capacity of the computing power available. It’s a toolkit that provides an actor model, runtime, and required supporting tools for building scalable applications.","더 간단하고 단일한 프로그래밍 모델을 제공하는 오픈 소스 프로젝트 - 동시 및 분산 애플리케이션을 위한 코딩 방법 중 하나인 액터 프로그래밍 모델.
Akka의 주요 목표는 클라우드에 배포되거나 코어가 많은 디바이스에서 실행되는 애플리케이션을 더 쉽게 구축하고 사용 가능한 컴퓨팅 성능의 전체 용량을 효율적으로 활용하는 것입니다. 이 툴킷은 확장 가능한 애플리케이션을 구축하기 위한 액터 모델, 런타임 및 필수 지원 도구를 제공합니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is an actor?,배우란 무엇인가요?,"Briefly, actors are a lot like message queues without the configuration and message broker installation overhead. They’re like programmable message queues shrunk to microsize—you can easily create thousands, even millions of them. They don’t “do”
anything unless they’re sent a message.
Messages are simple data structures that can’t be changed after they’ve been created, or in a single word, they’re immutable.
Actors can receive messages one at a time and execute some behavior whenever a message is received. Unlike queues, they can also send messages (to other actors).
Everything an actor does is executed asynchronously. Simply put, you can send a message to an actor without waiting for a response. Actors aren’t like threads, but messages sent to them are pushed through on a thread at some point in time. How actors are connected to threads is configurable - this is not a hardwired relationship.
For now the most important aspect of actors is that you build applications by sending and receiving messages. A message could be processed locally on some available thread, or remotely on another server. Exactly where the message is processed and where the actor lives are things you can decide later, which is very different compared to hardcoding threads and RPC style networking. Actors make it easy to build your application out of small parts that resemble networked services, only shrunk to microsize in footprint and administrative overhead.","간단히 말해서, 배우들은 설정과 메시지 브로커 설치 오버헤드가 없는 메시지 큐와 매우 비슷합니다. 마치 프로그래밍 가능한 메시지 큐를 축소하여 마이크로사이즈로 만드는 것과 같습니다. 수천 개, 심지어 수백만 개를 쉽게 만들 수 있습니다. 그들은 ""하지"" 않습니다
메시지를 보내지 않는 한 무엇이든.
메시지는 생성된 후에는 변경할 수 없거나 한 마디로 변경할 수 없는 단순한 데이터 구조입니다.
배우는 메시지를 한 번에 하나씩 받고 메시지를 받을 때마다 일부 동작을 실행할 수 있습니다. 대기열과 달리 다른 배우에게 메시지를 보낼 수도 있습니다.
배우가 하는 모든 작업은 비동기식으로 실행됩니다. 간단히 말해, 응답을 기다리지 않고 배우에게 메시지를 보낼 수 있습니다. 배우는 스레드와 같지는 않지만, 배우에게 보낸 메시지는 특정 시점에 스레드를 통해 전달됩니다. 배우가 스레드에 연결되는 방식은 구성할 수 있으며, 이는 유선 연결된 관계가 아닙니다.
현재 배우의 가장 중요한 측면은 메시지를 주고받으며 애플리케이션을 구축하는 것입니다. 메시지는 사용 가능한 스레드에서 로컬로 처리되거나 다른 서버에서 원격으로 처리될 수 있습니다. 메시지가 정확히 처리되는 위치와 배우의 거주 위치는 나중에 결정할 수 있는 사항으로, 하드코딩 스레드나 RPC 스타일 네트워킹과 비교하면 매우 다릅니다. 배우는 네트워크 서비스와 유사한 작은 부분으로 애플리케이션을 쉽게 구축할 수 있으며, 발자국과 관리 오버헤드를 미세화하기 위해 축소할 수 있습니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is an IDL-based encoding?,IDL 기반 인코딩이란 무엇인가요?,"An interface description language or interface definition language (IDL) encoding. 
It requires a schema definitions. They offer peace of mind with respect to data format and validation for consumers while sacrificing flexibility in the schema’s evolution.","인터페이스 설명 언어 또는 인터페이스 정의 언어(IDL) 인코딩. 
스키마 정의가 필요합니다. 스키마의 진화에 유연성을 희생하면서 소비자에게 데이터 형식과 검증에 대한 안심을 제공합니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is Tarantool?,타란툴이란 무엇인가요?,An in-memory noSQL database that uses write-ahead logging for crash resistance and persistence.,충돌 저항성과 지속성을 위해 쓰기 전 로깅을 사용하는 in-memory noSQL 데이터베이스입니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is a coroutine?,코루틴이란 무엇인가요?,"An object representing activity that eventually completes. Also refers the the function we call that returns a coroutine.
In Python, coroutines are generators.","결국 완료되는 활동을 나타내는 객체입니다. 또한 코루틴을 반환하는 함수라고도 합니다.
파이썬에서 코루틴은 생성기입니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is a future?,미래란 무엇인가요?,An object representing a result that may not be available yet.,아직 사용할 수 없는 결과를 나타내는 객체.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is AQP?,What is AQP?,Approximate query processing. It means pulling a sample of data instead of taking time to process an exact result. It is often used when a data storage involves terabytes or more.,대략적인 쿼리 처리. 정확한 결과를 처리하는 데 시간이 걸리는 대신 데이터 샘플을 가져오는 것을 의미합니다. 데이터 저장소에 테라바이트 이상이 포함된 경우 자주 사용됩니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How would you visualize billions of items in a graph?,그래프에서 수십억 개의 항목을 어떻게 시각화하시겠습니까?,"In many cases, you don't need to graph every point, just use visualization-aware sampling. Sometime 1% or less will do.",많은 경우 모든 점을 그래프로 그릴 필요는 없으며 시각화 인식 샘플링만 사용하면 됩니다. 1% 이하면 충분합니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is F1/Spanner?,F1/스패너란 무엇인가요?,Fault-Tolerant Distributed RDBMS (Spanner) Supporting Google's Ad Business (F1),구글의 광고 비즈니스(F1)를 지원하는 내결함성 분산 RDBMS(스패너),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is Photon?,광자란 무엇인가요?,Fault-tolerant and Scalable Joining of Continuous Data Streams,연속 데이터 스트림의 내결함성과 확장 가능한 결합,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is Mesa?,메사란 무엇인가요?,"Geo-Replicated, Near Real-Time, Scalable Data Warehousing","지리적으로 복제된 거의 실시간, 확장 가능한 데이터 웨어하우스",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How does Google use multi-homed datacenters?,Google은 멀티홈 데이터 센터를 어떻게 사용하나요?,"A multi-homed system runs live in multiple datacenters all the time. Each datacenter processes work all the time, and work is dynamically shared between datacenters to balance load. When one datacenter is slow, some fraction of work automatically moves to faster datacenters. When a datacenter is completely unavailable, all its work is automatically distributed to other datacenters.","멀티홈 시스템은 항상 여러 데이터 센터에서 실시간으로 실행됩니다. 각 데이터 센터 프로세스는 항상 작동하며, 작업은 데이터 센터 간에 동적으로 공유되어 부하 균형을 맞춥니다. 한 데이터 센터의 속도가 느리면 작업의 일부가 자동으로 더 빠른 데이터 센터로 이동합니다. 데이터 센터를 완전히 사용할 수 없는 경우 모든 작업이 자동으로 다른 데이터 센터로 분산됩니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is ElasticSearch?,ElasticSearch란 무엇인가요?,"Open Source, Distributed, RESTful Search Engine","오픈 소스, 분산, RESTful 검색 엔진",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is an example of a circuit breaker?,회로 차단기의 예는 무엇인가요?,Start sending 503s if your service is choked to avoid numerous simultaneous retries that just make the system worse.,시스템을 악화시키는 여러 번의 동시 재시도를 피하기 위해 서비스가 중단된 경우 503을 전송하기 시작하세요.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the name of Google's search ranking algorithm?,구글 검색 순위 알고리즘의 이름은 무엇인가요?,Hummingbird. PageRank is just one factor used by the algorithm.,벌새. 페이지랭크는 알고리즘이 사용하는 한 가지 요소일 뿐입니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is celery?,Celery란 무엇인가요?,Distributed Task Queue,분산 작업 대기열,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
LRU is the most popular type of what kind of policy?,LRU는 어떤 종류의 정책에서 가장 인기가 있나요?,Eviction,퇴거,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What does an eviction policy try to predict?,퇴거 정책은 무엇을 예측하려고 하나요?,"An eviction policy tries to predict which entries are most likely to be used again in the near future, thereby maximizing the hit ratio",퇴거 정책은 가까운 미래에 다시 사용될 가능성이 가장 높은 항목을 예측하여 적중률을 극대화하려고 합니다,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is Caffiene?,카페이엔이란 무엇인가요?,"Caffeine is a high performance, near optimal caching library based on Java 8.","카페인은 Java 8을 기반으로 한 고성능, 거의 최적의 캐싱 라이브러리입니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is request coalescing?,요청 통합이란 무엇인가요?,"When many requests arrive for some content that’s missing in the cache (cache miss), only one instance request will proceed to the backend to fetch the content on behalf of all to avoid a flood.","캐시에 누락된 콘텐츠(캐시 미스)에 대한 요청이 많이 도착하면, 홍수를 피하기 위해 백엔드로 콘텐츠를 가져오기 위해 하나의 인스턴스 요청만 진행됩니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
When might you need to use a NoSQL database,NoSQL 데이터베이스를 사용해야 하는 시기,"You don’t have any relational data.
If you need to store > 5 TB of data or you have an incredibly data intensive workload.
Your application has super low-latency requirements.
You need really high throughput.","관계 데이터가 없습니다.
5TB 이상의 데이터를 저장해야 하거나 데이터 집약적인 작업량이 있는 경우.
귀하의 애플리케이션은 대기 시간이 매우 짧습니다.
정말 높은 처리량이 필요합니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is AMP?,AMP란 무엇인가요?,"AMP is a restricted subset of HTML designed to make the web fast on mobile devices.
Provides a shared library of scripts so they don’t have to downloaded every time.
Sets standards for the architecture of advertising so advertising doesn't infect pages.
Shared mechanism for collecting data for analytics so you don’t have N different packages on a page gathering stats.","AMP는 모바일 기기에서 웹을 빠르게 만들기 위해 설계된 HTML의 제한된 하위 집합입니다.
스크립트를 매번 다운로드할 필요 없이 공유 라이브러리를 제공합니다.
광고가 페이지에 영향을 미치지 않도록 광고 아키텍처의 기준을 설정합니다.
분석을 위한 데이터 수집 메커니즘을 공유하여 페이지에 N개의 다른 패키지가 포함되지 않도록 합니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is a benefit of making processes asynchronous?,프로세스를 비동기화하면 어떤 이점이 있나요?,Flexibility in the architecture. Getting users on hooked on synchronous low-latency interactions doesn't allow for architecture flexibility.,아키텍처의 유연성. 사용자가 동기화된 저지연 상호작용에 매료되는 것은 아키텍처의 유연성을 보장하지 않습니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is BASE?,BASE란 무엇인가요?,"basically available
soft state
eventually consistent

A BASE based system is more tolerant to latency because it is an inherently partitioned and loosely coupled architecture and it uses eventual consistency.","기본적으로 사용 가능
소프트 상태
결국 일관된

BASE 기반 시스템은 본질적으로 분할되고 느슨하게 결합된 아키텍처이며 궁극적인 일관성을 사용하기 때문에 지연 시간에 더 관대합니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is ACID?,산이란 무엇인가요?,"atomicity
consistency
isolation
durability","원자성
일관성.
고립
내구성",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the CAP theorem?,CAP 정리란 무엇인가요?,"The CAP theorem, also named Brewer's theorem, states that it is impossible for a distributed computer system to simultaneously provide all three of the following guarantees:

- Consistency (all nodes see the same data at the same time)
- Availability (every request receives a response about whether it succeeded or failed)
- Partition tolerance (the system continues to operate despite arbitrary partitioning due to network failures)","CAP 정리, 브루어 정리라고도 불리는 이 정리는 분산 컴퓨터 시스템이 다음 세 가지 보장을 동시에 제공하는 것이 불가능하다고 명시하고 있습니다:

- 일관성(모든 노드가 동일한 데이터를 동시에 봅니다)
- 가용성(모든 요청은 성공 여부에 대한 응답을 받습니다)
- partition 허용 오차(네트워크 장애로 인한 임의의 partition에도 불구하고 시스템은 계속 작동합니다)",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is zero copy?,제로 카피란 무엇인가요?,"Applications that use zero copy request that the kernel copy the data directly from the disk file to the socket, without going through the application. Zero copy greatly improves application performance and reduces the number of context switches between kernel and user mode.",제로 복사를 사용하는 애플리케이션은 커null이 애플리케이션을 거치지 않고 디스크 파일에서 socket으로 직접 데이터를 복사할 것을 요청합니다. 제로 복사는 애플리케이션 성능을 크게 향상시키고 커null과 사용자 모드 간의 컨텍스트 전환 횟수를 줄여줍니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is a metaclass?,메타클래스란 무엇인가요?,Any callable (function or class) that implements type()'s function signature.,Any callable (function or class) that implements type()'s function signature.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is privilege separation?,특권 분리란 무엇인가요?,Separating an application into different areas so a vulnerability in one area doesn't affect the entire application.,애플리케이션을 다른 영역으로 분리하여 한 영역의 취약점이 전체 애플리케이션에 영향을 미치지 않도록 하는 것입니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"In security, what is a principal?",보안 분야에서 주체란 무엇인가요?,An entity with privileges or rights.,특권이나 권리를 가진 단체.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"In Unix, who is the owner of a file?",유닉스에서 파일의 소유자는 누구인가요?,The user with the user ID that matches the UID of the inode.,inode의 UID와 일치하는 사용자 ID를 가진 사용자.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What privilege do you need to lookup files or directories in a path?,경로에서 파일이나 디렉터리를 조회하려면 어떤 권한이 필요하나요?,The executable permission.,실행 가능한 권한.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
When is security enforced on a file?,파일에 대한 보안은 언제 시행되나요?,Security is checked when the file descriptor is created. Then it's up to the user to be careful and secure the file descriptor.,파일 설명자가 생성되면 보안이 확인됩니다. 그런 다음 파일 설명자를 주의하고 보호하는 것은 사용자의 몫입니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is ptrace?,ptrace란 무엇인가요?,"ptrace is a system call found in several Unix and Unix-like operating systems. By using ptrace, one process can control another, enabling the controller to inspect and manipulate the internal state of its target.","ptrace는 여러 유닉스 및 유닉스 계열 운영 체제에서 사용되는 시스템 호출입니다. ptrace를 사용하면 한 프로세스가 다른 프로세스를 제어할 수 있으며, 이를 통해 컨트롤러가 대상의 내부 상태를 검사하고 조작할 수 있습니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What can you use to debug a process?,프로세스를 디버깅하는 데 무엇을 사용할 수 있나요?,ptrace,흔적,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What user privilege is required to bind to ports < 1024?,포트 < 1024에 바인딩하려면 어떤 사용자 권한이 필요하나요?,root,뿌리,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"During system bootstrapping, what call is performed by the system to give a non-root user the ownership of a process?",시스템 부트스트래핑 중 루트가 아닌 사용자에게 프로세스의 소유권을 부여하기 위해 시스템이 수행하는 호출은 무엇인가요?,setuid(),setuid(),CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What are the setuid binaries?,setuid 바이너리란 무엇인가요?,"su
sudo","수
수도",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What does chroot do?,chroot은 무엇을 하나요?,Changes the root directory (/) for a user to be a directory on the filesystem where they can't escape.,사용자가 탈출할 수 없는 파일 시스템의 디렉토리가 되도록 루트 디렉토리(/)를 변경합니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is a confused deputy?,혼란스러운 대리인이란 무엇인가요?,"A confused deputy is a computer program that is innocently fooled by some other party into misusing its authority. It is a specific type of privilege escalation. In information security, the confused deputy problem is often cited as an example of why capability-based security is important, as capability systems protect against this whereas access control list-based systems do not.
The classic example is a Fortran compiler that creates a billing record for each use. A user was able to tell the compiler to output a binary with the same name as the billing file, overwriting it.","혼란스러운 대리인은 다른 당사자가 순진하게 속아 권한을 남용하는 컴퓨터 프로그램입니다. 이는 특정 유형의 권한 확대입니다. 정보 보안에서 혼란스러운 대리인 문제는 종종 기능 기반 보안이 중요한 이유를 보여주는 예로 언급되는데, 이는 기능 시스템이 이를 보호하는 반면 접근 제어 목록 기반 시스템은 그렇지 않기 때문입니다.
고전적인 예는 각 사용에 대한 청구 기록을 생성하는 포트란 컴파일러입니다. 사용자는 컴파일러에게 청구 파일과 동일한 이름의 바이너리를 출력하도록 지시하고 이를 덮어쓸 수 있었습니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is an example of a confused deputy in the web frontend world?,웹 프론트엔드 세계에서 혼란스러운 대리인의 예는 무엇인가요?,A CSRF attack.,CSRF 공격.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"What is ambient authority, or ambient privilege?",주변 권한 또는 주변 특권이란 무엇인가요?,"The decision about whether a process or agent can perform an action is based on information not explicitly stated, but inherited instead.","프로세스나 에이전트가 행동을 수행할 수 있는지 여부에 대한 결정은 명시적으로 명시되지 않은 정보를 기반으로 하며, 대신 상속됩니다.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is a capability?,기능이란 무엇인가요?,"The privilege to act upon something given your ownership of it, and the inability to act on something using an intermediate process' privileges. An example would be a function where you pass a file descriptor as an argument and the function uses your capability, not its own.",소유권이 주어졌을 때 어떤 것에 대해 행동할 수 있는 권한과 중간 프로세스의 권한을 사용하여 어떤 것에 대해 행동할 수 없는 권한을 말합니다. 예를 들어 파일 설명자를 인수로 전달하고 해당 기능이 자신의 기능이 아닌 자신의 기능을 사용하는 함수를 들 수 있습니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is a requirement of enabling sandboxing?,샌드박스를 활성화하기 위한 요건은 무엇인가요?,"The kernel must be able to support it by disallowing system calls that reference global namespaces:
- file paths starting at root - must be relative
- network
- PIDs - use process descriptors instead","커널은 전역 네임스페이스를 참조하는 시스템 호출을 허용하지 않음으로써 커null을 지원할 수 있어야 합니다:
- 루트에서 시작하는 파일 경로 - 상대적이어야 합니다
- 네트워크
- PID - 대신 프로세스 설명자 사용",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How is RSA decryption optimized for speed?,RSA 복호화는 속도에 어떻게 최적화되나요?,"- c^d mod p and c^d mod q are processed in parallel and merged at the end using the Chinese remainder theorem
- put into Montgomery format
- sliding windows to exponentiate on bits of exponent
- perhaps a single extra reduction
- convert back from Montgomery format
- merge using CRT","- c^d mod p와 c^d mod q는 병렬로 처리되며, 마지막에 중국 잔여 정리를 사용하여 병합됩니다
- 몽고메리 형식으로 번역하다
- 윈도우를 슬라이딩하여 지수 비트로 지수화합니다
- 아마도 한 번의 추가 감소
- 몽고메리 형식에서 다시 변환
- CRT를 사용하여 병합",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How do you change a positive integer to negative?,양의 정수를 음수로 어떻게 변경하나요?,"Subtract 1, flip all bits",1을 빼고 모든 비트를 뒤집습니다,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How do you change a negative integer to positive?,음수를 양수로 어떻게 변경하나요?,"Flip all bits, then add 1",모든 비트를 뒤집은 다음 1을 추가합니다,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is Intel architecture?,인텔 아키텍처란 무엇인가요?,"CISC - Complex Instruction Set Computer
Many special-purpose instructions.","CISC - 복잡한 명령어 집합 컴퓨터
많은 특수 목적 지침.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What size are Intel instructions?,인텔 지침은 어떤 크기인가요?,"They are variable-length, from 1 to theoretically 16 bytes.",그것들은 1바이트에서 이론적으로 16바이트까지의 가변 길이입니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is RISC?,RISC란 무엇인가요?,"Reduced Instruction Set Architecture. 
- more registers
- fewer, fixed-sized instructions
- used in PowerPC, ARM, SPARC, MIPS","축소된 명령어 집합 아키텍처. 
- 더 많은 레지스터
- 더 적은 수의 고정 크기 지침
- PowerPC, ARM, SPARC, MIPS에 사용됨",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What Endianness is Intel?,인텔의 엔디안니스란 무엇인가요?,"Little Endian, but only in memory. In registers, all are Big Endian.",리틀 엔디안이지만 기억 속에서만 가능합니다. 레지스터에는 모두 빅 엔디안입니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is Little Endianness?,리틀 엔디안니스란 무엇인가요?,The least significant bytes of a word or larger are stored in the lowest address. All bytes are the same. There is no Endianness within a byte.,단어 이상의 최하위 바이트는 가장 낮은 주소에 저장됩니다. 모든 바이트는 동일합니다. 바이트 내에는 엔디안니스가 없습니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How many registers are on CISC?,CISC에는 몇 개의 레지스터가 있나요?,8 general-purpose registers and an instruction pointer. 2 of 8 are not that general.,8개의 범용 레지스터와 명령 포인터. 8개 중 2개는 그렇게 일반적이지 않습니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the word size on Intel?,인텔의 단어 크기는 무엇인가요?,16 bits,16비트,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the double-word size on Intel?,인텔의 더블 워드 크기는 무엇인가요?,32 bits,32비트,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is Big Endianness?,빅 엔디안니스란 무엇인가요?,The most significant bytes of a word or larger are stored in the lowest address.,단어 이상의 가장 중요한 바이트는 가장 낮은 주소에 저장됩니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the EAX register used for?,EAX 레지스터는 무엇에 사용되나요?,Stores the function's return value.,함수의 반환 값을 저장합니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the EBX register used for?,EBX 레지스터는 무엇에 사용되나요?,Base pointer to the data section.,데이터 섹션으로 가는 기본 포인터.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the ECX register used for?,ECX 레지스터는 무엇에 사용되나요?,Counter for string and loop operations.,문자열 및 루프 연산을 위한 카운터.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the EDX register used for?,EDX 레지스터는 무엇에 사용되나요?,I/O pointer,입출력 포인터,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the ESI register used for?,ESI 레지스터는 무엇에 사용되나요?,Source pointer for string or other copy operations.,문자열 또는 기타 복사 작업을 위한 소스 포인터.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the EDI register used for?,EDI 레지스터는 무엇에 사용되나요?,Destination pointer for string or other copy operations.,문자열 또는 기타 복사 작업을 위한 대상 포인터.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the ESP register used for?,ESP 레지스터는 무엇에 사용되나요?,Stack pointer,스택 포인터,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the EBP register used for?,EBP 레지스터는 무엇에 사용되나요?,Stack frame base pointer,스택 프레임 베이스 포인터,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the EIP register used for?,EIP 레지스터는 무엇에 사용되나요?,Instruction pointer - next instruction pointer to execute.,명령 포인터 - 다음으로 실행할 명령 포인터.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What are the caller-save registers?,호출자 저장 레지스터는 무엇인가요?,"eax
edx
ecx","이완
edx
ECX",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What are the callee-save registers?,호출기 저장 레지스터는 무엇인가요?,"ebp
ebx
esi
edi","ebp
ebx
에시
에디",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
"Other than the main registers, what other registers can be used?",주요 레지스터 외에 어떤 다른 레지스터를 사용할 수 있나요?,"Legacy 8 and 16-bit registers: AX, AH, AL, SP, BP, SI","레거시 8비트 및 16비트 레지스터: AX, AH, AL, SP, BP, SI",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is the caller register-saving convention on Linux systems?,리눅스 시스템에서 발신자 등록 저장 규칙은 무엇인가요?,cdecl - C declaration,cdecl - C 선언,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is avalancing?,눈사태란 무엇인가요?,The effect of a hashing method where a small change in the input has a large effect on the output.,입력의 작은 변화가 출력에 큰 영향을 미치는 해싱 방법의 효과.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is Chef?,셰프란 무엇인가요?,A configuration tool. You write or reuse recipes that declare the state you wish your server to be in. It calculates the delta and builds out for you.,구성 도구. 서버가 원하는 상태를 선언하는 레시피를 작성하거나 재사용합니다. 이 도구는 델타를 계산하고 사용자를 위해 빌드를 제공합니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What is an example of a non-cryptographic hash function?,비암호화 해시 함수의 예는 무엇인가요?,"MurmurHash is an efficient, non-cryptographic hash function suitable for general hash-based lookup. The name comes from two basic operations, multiply (MU) and rotate (R), used in its inner loop. It has an avalanche effect. The current version is MurmurHash3 which yields a 32-bit or 128-bit hash value.","MurmurHash is an efficient, non-cryptographic hash function suitable for general hash-based lookup. The name comes from two basic operations, multiply (MU) and rotate (R), used in its inner loop. It has an avalanche effect. The current version is MurmurHash3 which yields a 32-bit or 128-bit hash value.",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
How could you process calculations on elements of an array in parallel?,배열의 요소에 대한 계산을 병렬로 처리하려면 어떻게 해야 하나요?,"Using recursion, divide and conquer, breaking down the array into smaller segments, then merging the values as the recursion unwinds. Non-mutation of the array means locking is not required.",재귀를 사용하여 분할하고 정복한 다음 배열을 더 작은 세그먼트로 분해한 다음 재귀가 풀릴 때 값을 병합합니다. 배열의 돌연변이가 없다는 것은 잠금이 필요하지 않다는 것을 의미합니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What factor should you keep in mind when doing parallel computation on different parts of a large data structure?,대규모 데이터 구조의 여러 부분에서 병렬 계산을 할 때 염두에 두어야 할 요소는 무엇인가요?,The memory bandwidth of your RAM. It can become a bottleneck.,RAM의 메모리 대역폭. 병목 현상이 발생할 수 있습니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What will be the computation time when processing multiple tasks?,여러 작업을 처리할 때 계산 시간은 어떻게 되나요?,The length of time the longest subcomputation takes.,가장 긴 서브 계산 시간.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
Why should you avoid starting and joining a task or thread on the same line or proximity?,같은 선상이나 근접 지점에서 작업이나 스레드를 시작하거나 참여하는 것을 피해야 하는 이유는 무엇인가요?,"Execution on the current thread will block until it completes, thereby obviating the concurrent call.",현재 스레드에서 실행이 완료될 때까지 차단되어 동시 호출을 피할 수 있습니다.,CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
What factors affect performance?,성과에 영향을 미치는 요인은 무엇인가요?,"- processor speed 
- number of processors
- memory access latency and throughput
- cache behavior
- runtime behavior (garbage collection, JIT compilation, thread scheduling)","- 프로세서 속도 
- 프로세서 수
- 메모리 액세스 지연 시간 및 처리량
- 캐시 동작
- 런타임 동작(쓰레기 수집, JIT 컴파일, 스레드 스케줄링)",CS,2.5,2026-02-02 13:11:01,2026-02-02 13:11:01
